,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Age stages
36,37,1,3,506,2,28.0,0,0,203,7.2292,102,1,2
37,38,0,3,135,2,21.0,0,0,515,8.05,102,3,2
38,39,0,3,838,1,18.0,2,0,303,18.0,102,3,1
39,40,1,3,590,1,14.0,1,0,187,11.2417,102,1,1
40,41,0,3,8,1,40.0,1,0,508,9.475,102,3,2
41,42,0,2,828,1,27.0,1,0,54,21.0,102,3,2
42,43,0,3,447,2,28.0,0,0,392,7.8958,102,1,2
43,44,1,2,457,1,NaN,1,2,635,41.5792,102,1,1
44,45,1,3,213,1,19.0,0,0,283,7.8792,102,2,2
45,46,0,3,698,2,28.0,0,0,618,8.05,102,3,2
46,47,0,3,474,2,28.0,1,0,463,15.5,102,2,2
47,48,1,3,605,1,28.0,0,0,77,7.75,102,2,2
48,49,0,3,727,2,28.0,2,0,191,21.6792,102,1,2
49,50,0,3,39,1,18.0,1,0,378,17.8,102,3,1
50,51,0,3,630,2,7.0,4,1,250,39.6875,102,3,1
51,52,0,3,595,2,21.0,0,0,523,7.8,102,3,2
52,53,1,1,334,1,49.0,1,0,588,76.7292,102,1,2
53,54,1,2,247,1,NaN,1,0,240,26.0,24,3,2
54,55,0,1,621,2,65.0,0,1,30,61.9792,24,1,2
55,56,1,1,874,2,28.0,0,0,95,35.5,72,3,2
56,57,1,2,708,1,21.0,0,0,556,10.5,22,3,2
57,58,0,3,596,2,28.5,0,0,216,7.2292,22,1,2
58,59,1,2,854,1,5.0,1,2,562,27.75,22,3,1
59,60,0,3,300,2,11.0,5,2,567,46.9,22,3,1
60,61,0,3,750,2,22.0,0,0,198,7.2292,22,1,2
61,62,1,1,386,1,NaN,0,0,33,80.0,22,4,2
62,63,0,1,338,2,45.0,1,0,458,83.475,81,3,2
63,64,0,3,756,2,4.0,3,2,338,27.9,143,3,1
64,65,0,1,785,2,28.0,0,0,602,27.7208,143,1,2
65,66,1,3,561,2,28.0,1,1,190,15.2458,143,1,2
66,67,1,2,597,1,NaN,0,0,554,10.5,143,3,2
67,68,0,3,186,2,19.0,0,0,624,8.1583,141,3,2
68,69,1,3,26,1,NaN,4,2,249,7.925,141,3,1
69,70,0,3,441,2,26.0,2,0,271,8.6625,141,3,2
70,71,0,2,397,2,32.0,0,0,558,10.5,141,3,2
71,72,0,3,301,1,16.0,5,2,567,46.9,141,3,1
72,73,0,2,377,2,21.0,0,0,622,73.5,141,3,2
73,74,0,3,162,2,26.0,1,0,205,14.4542,141,1,2
74,75,1,3,88,2,32.0,0,0,81,56.4958,141,3,2
75,76,0,3,547,2,25.0,0,0,348,7.65,141,3,2
76,77,0,3,779,2,28.0,0,0,356,7.8958,64,3,2
77,78,0,3,564,2,28.0,0,0,474,8.05,64,3,2
78,79,1,2,128,2,NaN,0,2,159,29.0,64,3,1
79,80,1,3,224,1,30.0,0,0,433,12.475,64,3,2
80,81,0,3,843,2,22.0,0,0,305,9.0,64,3,2
81,82,1,3,738,2,NaN,0,0,312,9.5,64,3,2
82,83,1,3,520,1,28.0,0,0,281,7.7875,64,2,2
83,84,0,1,142,2,28.0,0,0,26,47.1,64,3,2
84,85,1,2,387,1,NaN,0,0,638,10.5,64,3,1
85,86,1,3,53,1,33.0,3,0,248,15.85,64,3,2
86,87,0,3,256,2,16.0,1,3,677,34.375,64,3,1
87,88,0,3,765,2,28.0,0,0,653,8.05,64,3,2
88,89,1,1,260,1,23.0,3,2,96,263.0,64,3,2
89,90,0,3,150,2,24.0,0,0,298,8.05,123,3,2
90,91,0,3,160,2,NaN,0,0,299,8.05,123,3,2
91,92,0,3,32,2,20.0,0,0,342,7.8542,123,3,2
92,93,0,1,151,2,46.0,1,0,679,61.175,123,3,2
93,94,0,3,210,2,26.0,1,2,549,20.575,13,3,2
94,95,0,3,185,2,59.0,0,0,429,7.25,13,3,2
95,96,0,3,741,2,28.0,0,0,476,8.05,13,3,2
96,97,0,1,293,2,71.0,0,0,608,34.6542,13,1,2
97,98,1,1,309,2,23.0,0,1,613,63.3583,92,1,2
98,99,1,2,220,1,34.0,0,1,118,23.0,99,3,2
99,100,0,2,423,2,34.0,1,0,151,26.0,99,3,2
100,101,0,3,657,1,28.0,0,0,385,7.8958,99,3,2
101,102,0,3,659,2,28.0,0,0,362,7.8958,99,3,2
102,103,0,1,859,2,21.0,0,1,418,77.2875,99,3,2
103,104,0,3,406,2,33.0,0,0,506,8.6542,53,3,2
104,105,0,3,313,2,37.0,2,0,246,7.925,53,3,2
105,106,0,3,543,2,28.0,0,0,355,7.8958,53,3,2
106,107,1,3,725,1,21.0,0,0,297,7.65,53,3,2
107,108,1,3,560,2,28.0,0,0,255,7.775,53,3,2
108,109,0,3,676,2,NaN,0,0,389,7.8958,53,3,2
109,110,1,3,553,1,28.0,1,0,470,24.15,53,2,2
110,111,0,1,668,2,47.0,0,0,3,52.0,53,3,2
111,112,0,3,883,1,NaN,1,0,194,14.4542,37,1,1
112,113,0,3,68,2,22.0,0,0,275,8.05,37,3,2
113,114,0,3,418,1,20.0,1,0,492,9.825,37,3,2
114,115,0,3,47,1,NaN,0,0,177,14.4583,37,1,1
115,116,0,3,646,2,21.0,0,0,667,7.925,37,3,2
116,117,0,3,179,2,70.5,0,0,461,7.75,37,2,2
117,118,0,2,827,2,NaN,1,0,54,21.0,37,3,2
118,119,0,1,71,2,24.0,0,1,586,247.5208,37,1,2
119,120,0,3,25,1,NaN,4,2,334,31.275,117,3,1
120,121,0,2,363,2,21.0,2,0,622,73.5,117,3,2
121,122,0,3,552,2,28.0,0,0,541,8.05,117,3,2
122,123,0,2,576,2,32.5,1,0,133,30.0708,117,1,2
123,124,1,2,849,1,32.5,0,0,220,13.0,117,3,2
124,125,0,1,858,2,NaN,0,1,418,77.2875,99,3,2
125,126,1,3,589,2,NaN,1,0,187,11.2417,139,1,1
126,127,0,3,526,2,28.0,0,0,464,7.75,139,2,2
127,128,1,3,500,2,24.0,0,0,542,7.1417,139,3,2
128,129,1,3,654,1,28.0,1,1,197,22.3583,139,1,2
129,130,0,3,235,2,45.0,0,0,319,6.975,108,3,2
130,131,0,3,226,2,33.0,0,0,381,7.8958,108,1,2
131,132,0,3,166,2,20.0,0,0,641,7.05,108,3,2
132,133,0,3,696,1,47.0,1,0,538,14.5,108,3,2
133,134,1,2,852,1,NaN,1,0,112,26.0,108,3,2
134,135,0,2,773,2,25.0,0,0,553,13.0,108,3,2
135,136,0,2,686,2,23.0,0,0,631,15.0458,108,1,2
136,137,1,1,586,1,19.0,0,2,56,26.2833,108,3,2
137,138,0,1,272,2,37.0,1,0,50,53.1,56,3,2
138,139,0,3,619,2,16.0,0,0,505,9.2167,46,3,1
139,140,0,1,283,2,24.0,0,0,593,79.2,46,1,2
140,141,0,3,100,1,28.0,0,2,204,15.2458,142,1,2
141,142,1,3,598,1,22.0,0,0,333,7.75,142,3,2
142,143,1,3,320,1,24.0,1,0,669,15.85,142,3,2
143,144,0,3,117,2,19.0,0,0,439,6.75,142,2,2
144,145,0,2,33,2,18.0,0,0,119,11.5,142,3,1
145,146,0,2,587,2,19.0,1,1,559,36.75,142,3,2
146,147,1,3,30,2,27.0,0,0,406,7.7958,142,3,2
147,148,0,3,255,1,9.0,2,2,677,34.375,142,3,1
148,149,0,2,581,2,36.5,0,2,114,26.0,142,3,2
149,150,0,2,122,2,42.0,0,0,148,13.0,62,3,2
150,151,0,2,69,2,51.0,0,0,623,12.525,62,3,2
151,152,1,1,644,1,22.0,1,0,37,66.6,62,3,2
152,153,0,3,533,2,55.5,0,0,517,8.05,124,3,2
153,154,0,3,890,2,40.5,0,2,539,14.5,124,3,2
154,155,0,3,613,2,28.0,0,0,574,7.3125,124,3,2
155,156,0,1,867,2,51.0,0,1,596,61.3792,124,1,2
156,157,1,3,288,1,16.0,0,0,419,7.7333,124,2,1
157,158,0,3,182,2,30.0,0,0,655,8.05,124,3,2
158,159,0,3,768,2,28.0,0,0,259,8.6625,124,3,2
159,160,0,3,717,2,28.0,8,2,569,69.55,124,3,2
160,161,0,3,187,2,44.0,0,1,471,16.1,124,3,2
161,162,1,2,848,1,40.0,0,0,560,15.75,124,3,2
162,163,0,3,83,2,26.0,0,0,324,7.775,124,3,2
163,164,0,3,130,2,NaN,0,0,266,8.6625,124,3,1
164,165,0,3,629,2,NaN,4,1,250,39.6875,124,3,1
165,166,1,3,294,2,9.0,0,2,424,20.525,124,3,1
166,167,1,1,158,1,28.0,0,1,29,55.0,124,3,2
167,168,0,3,761,1,45.0,1,4,338,27.9,19,3,2
168,169,0,1,70,2,28.0,0,0,577,25.925,19,3,2
169,170,0,3,487,2,28.0,0,0,81,56.4958,19,3,2
170,171,0,1,833,2,61.0,0,0,6,33.5,19,3,2
171,172,0,3,681,2,4.0,4,1,481,29.125,15,2,1
172,173,1,3,409,1,NaN,1,1,345,11.1333,15,3,1
173,174,0,3,753,2,21.0,0,0,660,7.925,15,3,2
174,175,0,1,770,2,56.0,0,0,91,30.6958,15,1,2
175,176,0,3,445,2,18.0,1,1,413,7.8542,70,3,1
176,177,0,3,465,2,28.0,3,1,489,25.4667,70,3,2
177,178,0,1,389,1,50.0,0,0,594,28.7125,70,1,2
178,179,0,2,321,2,30.0,0,0,170,13.0,145,3,2
179,180,0,3,475,2,36.0,0,0,575,0.0,145,3,2
180,181,0,3,718,1,28.0,8,2,569,69.55,145,3,2
181,182,0,2,651,2,28.0,0,0,630,15.05,145,1,2
182,183,0,3,42,2,9.0,4,2,330,31.3875,145,3,1
183,184,1,2,77,2,NaN,2,1,115,39.0,145,3,1
184,185,1,3,442,1,4.0,0,2,272,22.025,10,3,1
185,186,0,1,701,2,28.0,0,0,35,50.0,10,3,2
186,187,1,3,602,1,28.0,1,0,460,15.5,142,2,2
187,188,1,1,699,2,45.0,0,0,12,26.55,142,3,2
188,189,0,3,102,2,40.0,1,1,436,15.5,142,2,2
189,190,0,3,824,2,36.0,0,0,387,7.8958,142,3,2
190,191,1,2,665,1,32.0,0,0,123,13.0,142,3,2
191,192,0,2,137,2,19.0,0,0,228,13.0,142,3,2
192,193,1,3,21,1,19.0,1,0,407,7.8542,142,3,2
193,194,1,2,580,2,NaN,1,1,114,26.0,142,3,1
194,195,1,1,114,1,44.0,0,0,605,27.7208,29,1,2
195,196,1,1,496,1,58.0,0,0,587,146.5208,44,1,2
196,197,0,3,534,2,28.0,0,0,453,7.75,146,2,2
197,198,0,3,612,2,42.0,0,1,495,8.4042,146,3,2
198,199,1,3,498,1,28.0,0,0,462,7.75,146,2,2
199,200,0,2,882,1,24.0,0,0,161,13.0,146,3,2
200,201,0,3,835,2,28.0,0,0,307,9.5,146,3,2
201,202,0,3,722,2,28.0,8,2,569,69.55,146,3,2
202,203,0,3,404,2,34.0,0,0,243,6.4958,146,3,2
203,204,0,3,879,2,45.5,0,0,178,7.225,146,1,2
204,205,1,3,167,2,18.0,0,0,531,8.05,146,3,1
205,206,0,3,790,1,NaN,0,1,317,10.4625,146,3,1
206,207,0,3,52,2,32.0,1,0,248,15.85,9,3,2
207,208,1,3,10,2,26.0,0,0,217,18.7875,9,1,2
208,209,1,3,141,1,16.0,0,0,446,7.75,9,2,1
209,210,1,1,95,2,40.0,0,0,18,31.0,9,1,2
210,211,0,3,13,2,24.0,0,0,643,7.05,104,3,2
211,212,1,2,132,1,35.0,0,0,571,21.0,104,3,2
212,213,0,3,650,2,22.0,0,0,527,7.25,104,3,2
213,214,0,2,289,2,30.0,0,0,164,13.0,104,3,2
214,215,0,3,438,2,28.0,1,0,444,7.75,104,2,2
215,216,1,1,583,1,31.0,1,0,417,113.275,104,1,2
216,217,1,3,376,1,27.0,0,0,671,7.925,94,3,2
217,218,0,2,391,2,42.0,1,0,143,27.0,94,3,2
218,219,1,1,73,1,32.0,0,0,64,76.2917,94,1,2
219,220,0,2,339,2,30.0,0,0,680,10.5,88,3,2
220,221,1,3,792,2,16.0,0,0,654,8.05,88,3,1
221,222,0,2,106,2,27.0,0,0,106,13.0,88,3,2
222,223,0,3,307,2,51.0,0,0,103,8.05,88,3,2
223,224,0,3,582,2,28.0,0,0,376,7.8958,88,3,2
224,225,1,1,380,2,NaN,1,0,94,90.0,88,3,2
225,226,0,3,84,2,22.0,0,0,616,9.35,81,3,2
226,227,1,2,532,2,19.0,0,0,673,10.5,81,3,2
227,228,0,3,493,2,20.5,0,0,526,7.25,81,3,2
228,229,0,2,244,2,18.0,0,0,126,13.0,81,3,1
229,230,0,3,468,1,28.0,3,1,489,25.4667,81,3,2
230,231,1,1,340,1,35.0,1,0,458,83.475,81,3,2
231,232,0,3,461,2,NaN,0,0,323,7.775,79,3,2
232,233,0,2,755,2,59.0,0,0,129,13.5,79,3,2
233,234,1,3,44,1,5.0,4,2,330,31.3875,79,3,1
234,235,0,2,480,2,24.0,0,0,555,10.5,79,3,2
235,236,0,3,330,1,28.0,0,0,678,7.55,79,3,2
236,237,0,2,371,2,44.0,1,0,199,26.0,79,3,2
237,238,1,2,173,1,8.0,0,2,557,26.25,79,3,1
238,239,0,2,649,2,19.0,0,0,232,10.5,79,3,2
239,240,0,2,384,2,33.0,0,0,637,12.275,79,3,2
240,241,0,3,884,1,28.0,1,0,194,14.4542,79,1,2
241,242,1,3,568,1,28.0,1,0,445,15.5,79,2,2
242,243,0,2,170,2,NaN,0,0,675,10.5,79,3,2
243,244,0,3,501,2,22.0,0,0,659,7.125,79,3,2
244,245,0,3,48,2,30.0,0,0,214,7.225,79,1,2
245,246,0,1,540,2,44.0,2,0,93,90.0,79,2,2
246,247,0,3,482,1,25.0,0,0,326,7.775,103,3,2
247,248,1,2,323,1,24.0,0,2,167,14.5,103,3,2
248,249,1,1,79,2,37.0,1,1,55,52.5542,103,3,2
249,250,0,2,148,2,NaN,1,0,145,26.0,146,3,2
250,251,0,3,674,2,28.0,0,0,423,7.25,146,3,2
251,252,0,3,791,1,NaN,1,1,317,10.4625,146,3,2
252,253,0,1,783,2,62.0,0,0,32,26.55,84,3,2
253,254,0,3,488,2,30.0,1,0,537,16.1,41,3,2
254,255,0,3,703,1,NaN,0,2,459,20.2125,41,3,2
255,256,1,3,820,1,NaN,0,2,186,15.2458,41,1,2
256,257,1,1,809,1,28.0,0,0,590,79.2,41,1,2
257,258,1,1,157,1,30.0,0,0,1,86.5,41,3,2
258,259,1,1,845,1,35.0,0,0,609,512.3292,135,1,2
259,260,1,2,637,1,50.0,0,1,116,26.0,135,3,2
260,261,0,3,772,2,28.0,0,0,483,7.75,135,2,2
261,262,1,3,43,2,NaN,4,2,330,31.3875,135,3,1
262,263,0,1,800,2,52.0,1,1,2,79.65,135,3,2
263,264,0,1,341,2,40.0,0,0,17,0.0,47,3,2
264,265,0,3,357,1,28.0,0,0,479,7.75,58,2,2
265,266,0,2,675,2,36.0,0,0,547,10.5,58,3,2
266,267,0,3,632,2,16.0,4,1,250,39.6875,58,3,1
267,268,1,3,653,2,25.0,1,0,335,7.775,58,3,2
268,269,1,1,306,1,58.0,0,1,589,153.4625,58,3,2
269,270,1,1,92,1,35.0,0,0,614,135.6333,90,3,2
270,271,0,1,126,2,28.0,0,0,48,31.0,55,3,2
271,272,1,3,818,2,25.0,0,0,575,0.0,55,3,2
272,273,1,2,531,1,NaN,0,1,163,19.5,55,3,2
273,274,0,1,578,2,37.0,0,1,595,29.7,55,1,2
274,275,1,3,351,1,28.0,0,0,466,7.75,114,2,2
275,276,1,1,34,1,NaN,1,0,72,77.9583,114,3,2
276,277,0,3,483,1,45.0,0,0,327,7.75,4,3,2
277,278,0,2,635,2,28.0,0,0,136,0.0,4,3,2
278,279,0,3,682,2,7.0,4,1,481,29.125,4,2,1
279,280,1,3,3,1,35.0,1,1,552,20.25,4,3,2
280,281,0,3,228,2,65.0,0,0,291,7.75,4,2,2
281,282,0,3,615,2,28.0,0,0,341,7.8542,4,3,2
282,283,0,3,888,2,16.0,0,0,311,9.5,4,3,1
283,284,1,3,222,2,19.0,0,0,534,8.05,4,3,2
284,285,0,1,771,2,28.0,0,0,25,26.0,4,3,2
285,286,0,3,780,2,33.0,0,0,379,8.6625,32,1,2
286,287,1,3,887,2,30.0,0,0,309,9.5,32,3,2
287,288,0,3,571,2,22.0,0,0,354,7.8958,32,3,2
288,289,1,2,379,2,42.0,0,0,135,13.0,32,3,2
289,290,1,3,178,1,22.0,0,0,465,7.75,32,2,2
290,291,1,1,66,1,26.0,0,0,92,78.85,32,3,2
291,292,1,1,91,1,19.0,1,0,65,91.0792,32,1,2
292,293,0,2,478,2,36.0,0,0,636,12.875,91,1,2
293,294,0,3,316,1,24.0,0,0,377,8.85,63,3,2
294,295,0,3,542,2,24.0,0,0,375,7.8958,63,3,2
295,296,0,1,479,2,28.0,0,0,607,27.7208,63,1,2
296,297,0,3,325,2,23.5,0,0,213,7.2292,63,1,2
297,298,0,1,18,1,NaN,1,2,38,151.55,63,3,1
298,299,1,1,715,2,28.0,0,0,99,30.5,52,3,2
299,300,1,1,72,1,50.0,0,1,586,247.5208,37,1,2
300,301,1,3,432,1,28.0,0,0,514,7.75,117,2,2
301,302,1,3,519,2,28.0,2,0,442,23.25,117,2,2
302,303,0,3,412,2,19.0,0,0,575,0.0,117,3,2
303,304,1,2,429,1,28.0,0,0,110,12.35,117,2,2
304,305,0,3,869,2,28.0,0,0,528,8.05,63,3,2
305,306,1,1,17,2,NaN,1,2,38,151.55,63,3,1
306,307,1,1,249,1,28.0,0,0,84,110.8833,75,1,2
307,308,1,1,648,1,NaN,1,0,612,108.9,75,1,1
308,309,0,2,4,2,30.0,1,0,576,24.0,126,1,2
309,310,1,1,264,1,30.0,0,0,585,56.9292,126,1,2
310,311,1,1,349,1,24.0,0,0,60,83.1583,73,1,2
311,312,1,1,711,1,18.0,2,2,603,262.375,36,1,1
312,313,0,2,450,1,26.0,1,1,168,26.0,77,3,2
313,314,0,3,356,2,28.0,0,0,383,7.8958,77,3,2
314,315,0,2,343,2,43.0,1,1,572,26.25,77,3,2
315,316,1,3,591,1,26.0,0,0,344,7.8542,77,3,2
316,317,1,2,424,1,24.0,1,0,151,26.0,77,3,2
317,318,0,2,556,2,NaN,0,0,233,14.0,77,3,2
318,319,1,1,860,1,31.0,0,2,454,164.8667,77,3,2
319,320,1,1,776,1,40.0,1,1,82,134.5,125,1,2
320,321,0,3,212,2,22.0,0,0,525,7.25,66,3,2
321,322,0,3,201,2,27.0,0,0,366,7.8958,66,3,2
322,323,1,2,763,1,30.0,0,0,125,12.35,66,2,2
323,324,1,2,129,1,22.0,1,1,159,29.0,66,3,2
324,325,0,3,723,2,28.0,8,2,569,69.55,66,3,2
325,326,1,1,878,1,36.0,0,0,614,135.6333,66,1,2
326,327,0,3,599,2,61.0,0,0,300,6.2375,91,3,2
327,328,1,2,61,1,36.0,0,0,230,13.0,91,3,2
328,329,1,3,296,1,31.0,1,1,424,20.525,18,3,2
329,330,1,1,364,1,16.0,0,1,8,57.9792,18,1,1
330,331,1,3,518,1,28.0,2,0,442,23.25,57,2,2
331,332,0,1,638,2,45.5,0,0,21,28.5,57,3,2
332,333,0,1,305,2,NaN,0,1,589,153.4625,86,3,2
333,334,0,3,839,2,16.0,2,0,303,18.0,62,3,1
334,335,1,1,266,1,28.0,1,0,606,133.65,62,3,2
335,336,0,3,211,2,28.0,0,0,371,7.8958,62,3,2
336,337,0,1,643,2,NaN,1,0,37,66.6,62,3,2
337,338,1,1,118,1,NaN,0,0,82,134.5,128,1,2
338,339,1,3,193,2,45.0,0,0,511,8.05,147,3,2
339,340,0,1,94,2,45.0,0,0,40,35.5,147,3,2
340,341,1,2,579,2,NaN,1,1,114,26.0,142,3,1
341,342,1,1,259,1,24.0,3,2,96,263.0,64,3,2
342,343,0,2,171,2,28.0,0,0,160,13.0,143,3,2
343,344,0,2,734,2,25.0,0,0,150,13.0,143,3,2
344,345,0,2,263,2,36.0,0,0,113,13.0,143,3,2
345,346,1,2,112,1,24.0,0,0,158,13.0,143,3,2
346,347,1,2,769,1,40.0,0,0,258,13.0,60,3,2
347,348,1,3,208,1,28.0,1,0,484,16.1,60,3,2
348,349,1,3,184,2,NaN,1,1,563,15.9,60,3,1
349,350,0,3,216,2,42.0,0,0,263,8.6625,60,3,2
350,351,0,3,609,2,23.0,0,0,504,9.225,60,3,2
351,352,0,1,871,2,28.0,0,0,31,35.0,60,3,2
352,353,0,3,238,2,15.0,1,1,215,7.2292,124,1,1
353,354,0,3,38,2,25.0,1,0,378,17.8,124,3,2
354,355,0,3,880,2,28.0,0,0,183,7.225,124,1,2
355,356,0,3,836,2,28.0,0,0,315,9.5,124,3,2
356,357,1,1,105,1,22.0,0,1,29,55.0,124,3,2
357,358,0,2,271,1,NaN,0,0,132,13.0,105,3,2
358,359,1,3,523,1,28.0,0,0,280,7.8792,105,2,2
359,360,1,3,546,1,28.0,0,0,286,7.8792,105,2,2
360,361,0,3,760,2,40.0,1,4,338,27.9,105,3,2
361,362,0,2,889,2,NaN,1,0,634,27.7208,105,1,2
362,363,0,3,65,1,45.0,0,1,212,14.4542,105,1,2
363,364,0,3,41,2,35.0,0,0,642,7.05,105,3,2
364,365,0,3,600,2,28.0,1,0,460,15.5,105,2,2
365,366,0,3,6,2,30.0,0,0,545,7.25,105,3,2
366,367,1,1,846,1,60.0,1,0,5,75.25,105,1,2
367,368,1,3,563,1,28.0,0,0,176,7.2292,25,1,2
368,369,1,3,401,1,28.0,0,0,79,7.75,25,2,2
369,370,1,1,49,1,24.0,0,0,582,69.3,25,1,2
370,371,1,1,329,2,25.0,1,0,59,55.4417,132,1,2
371,372,0,3,864,2,18.0,1,0,245,6.4958,80,3,1
372,373,0,3,76,2,19.0,0,0,274,8.05,80,3,2
373,374,0,1,691,2,22.0,0,0,614,135.6333,80,1,2
374,375,0,3,626,1,NaN,3,1,396,21.075,80,3,1
375,376,1,1,537,1,28.0,1,0,601,82.1708,80,1,2
376,377,1,3,455,1,22.0,0,0,546,7.25,80,3,2
377,378,0,1,863,2,27.0,0,2,28,211.5,80,1,2
378,379,0,3,86,2,20.0,0,0,184,4.0125,48,1,2
379,380,0,3,315,2,19.0,0,0,325,7.775,48,3,2
380,381,1,1,87,1,42.0,0,0,611,227.525,48,1,2
381,382,1,3,573,1,NaN,0,2,188,15.7417,48,1,1
382,383,0,3,812,2,32.0,0,0,666,7.925,48,3,2
383,384,1,1,374,1,35.0,1,0,44,52.0,48,3,2
384,385,0,3,666,2,28.0,0,0,372,7.8958,48,3,2
385,386,0,2,206,2,18.0,0,0,622,73.5,48,3,1
386,387,0,3,299,2,NaN,5,2,567,46.9,48,3,1
387,388,1,2,119,1,36.0,0,0,221,13.0,48,3,2
388,389,0,3,716,2,28.0,0,0,448,7.7292,48,2,2
389,390,1,2,469,1,NaN,0,0,626,12.0,48,1,1
390,391,1,1,145,2,36.0,1,2,34,120.0,48,3,2
391,392,1,3,394,2,21.0,0,0,402,7.7958,104,3,2
392,393,0,3,314,2,28.0,2,0,247,7.925,104,3,2
393,394,1,1,584,1,23.0,1,0,417,113.275,104,1,2
394,395,1,3,729,1,24.0,0,2,617,16.7,146,3,2
395,396,0,3,405,2,22.0,0,0,411,7.7958,79,3,2
396,397,0,3,614,1,31.0,0,0,415,7.8542,79,3,2
397,398,0,2,525,2,46.0,0,0,227,26.0,79,3,2
398,399,0,2,624,2,23.0,0,0,147,10.5,79,3,2
399,400,1,2,822,1,28.0,0,0,141,12.65,79,3,2
400,401,1,3,593,2,39.0,0,0,664,7.925,79,3,2
401,402,0,3,7,2,26.0,0,0,293,8.05,79,3,2
402,403,0,3,419,1,21.0,1,0,493,9.825,79,3,2
403,404,0,3,319,2,28.0,1,0,669,15.85,79,3,2
404,405,0,3,617,1,20.0,0,0,268,8.6625,79,3,2
405,406,0,2,275,2,34.0,1,0,231,21.0,79,3,2
406,407,0,3,862,2,51.0,0,0,322,7.75,79,3,2
407,408,1,2,688,2,NaN,1,1,238,18.75,79,3,1
408,409,0,3,89,2,21.0,0,0,256,7.775,79,3,2
409,410,0,3,466,1,28.0,3,1,489,25.4667,79,3,2
410,411,0,3,733,2,28.0,0,0,368,7.8958,79,3,2
411,412,0,3,344,2,28.0,0,0,488,6.8583,79,2,2
412,413,1,1,541,1,33.0,1,0,93,90.0,79,2,2
413,414,0,2,192,2,28.0,0,0,136,0.0,116,3,2
414,415,1,3,793,2,44.0,0,0,656,7.925,116,3,2
415,416,0,3,529,1,28.0,0,0,296,8.05,116,3,2
416,417,1,2,227,1,34.0,1,1,225,32.5,116,3,2
417,418,1,2,743,1,18.0,0,2,169,13.0,116,3,1
418,419,0,2,514,2,30.0,0,0,226,13.0,116,3,2
419,420,0,3,830,1,10.0,0,2,308,24.15,116,3,1
420,421,0,3,282,2,28.0,0,0,393,7.8958,116,1,2
421,422,0,3,156,2,21.0,0,0,535,7.7333,116,2,2
422,423,0,3,885,2,NaN,0,0,260,7.875,116,3,2
423,424,0,3,199,1,28.0,1,1,332,14.4,116,3,2
424,425,0,3,702,2,18.0,1,1,459,20.2125,116,3,1
425,426,0,3,873,2,28.0,0,0,522,7.25,116,3,2
426,427,1,2,163,1,28.0,1,0,101,26.0,116,3,2
427,428,1,2,663,1,19.0,0,0,171,26.0,116,3,2
428,429,0,3,250,2,28.0,0,0,438,7.75,116,2,2
